ID;Esti...;Care este varsta ta in ani impliniti?;Locuiesti in mediul...;in ce judet locuiesti?;Cu ce frecventa te uiti la televizor? *Raspuns unic.*;Care este ultima forma de invatamant pe care ai absolvit-o?;Care este starea ta civila?;Ai copii?;Cati copii ai?;Cate persoane locuiesc cu tine permanent (nu doar in vizita)? Daca locuiesti singur(a), scrie 0.;Care este ocupatia ta curenta?;incadreaza venitul tau total net in una dintre categoriile urmatoare:;in ce masura iti place sau nu aceasta reclama?;si in ce masura simti ca ti se adreseaza/ se potriveste pentru tine personal, serviciul promovat?;Voi contracta serviciile Brand 3;Cum consideri pretul de *24.6 Ron (5 euro) / luna* pentru *un abonament lunar al serviciului de streaming al Brand 3?;Cum consideri pretul de *39.4 Ron (8 euro) / luna* pentru un abonament lunar de *daca ar include si continut suplimentar?*;Folosind o scala de la 0 la 10, in ce masura ai recomanda familiei, prietenilor, cunoscutilor *furnizorul de televiziune pe care il folosesti in prezent*?;Intentionezi ca in urmatoarele 6 luni sa schimbi furnizorul actual de servicii de televiziune? *Raspuns unic.*;Pe langa serviciile de televiziune traditionala, in ce masura iei in considerare contractarea serviciilor de televiziune online sau streaming? *Raspuns unic.*;Care *cel mai important motiv* pentru care *nu te uiti* la televizor? (Alege un singurul motiv, cel care primeaza in decizia de a nu te uita la TV.);Care este criteriul pentru care alegeti un serviciu de televiziune?;;;;;;;;;;;;;;Acasa, ce tip de televiziune urmaresti?;;;;
1319;Barbat;42;Urban;BUCURESTI;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Nu lucrez;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Probabil da;Acceptabil;Scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;;;;;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1320;Femeie;24;Urban;CLUJ;Zilnic;Studii postuniversitare (master, doctorat);Necasatorit/a;Nu;;3;Inginer, economist, doctor, professor;1.001 - 1.700 lei;Asa si-asa;Nu prea mi se potriveste;Mai degraba nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1321;Barbat;46;Urban;HARGHITA;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;3;Manager / director;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;Prea scump;Prea scump;9;Poate il voi schimba, poate nu;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
1322;Femeie;53;Urban;BUCURESTI;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Refuz;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Cu siguranta da;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
1323;Barbat;35;Urban;TULCEA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;3;Detin o afacere;5.001 - 6.500 lei;Asa si-asa;Nu prea mi se potriveste;Probabil da;Acceptabil;Acceptabil;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
1324;Femeie;46;Urban;DAMBOVITA;Zilnic;Gimnaziu (8 clase);Necasatorit/a;Da;1 copil;3;Muncitor calificat;> 8000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
1325;Barbat;41;Urban;IASI;Zilnic;Liceu (12 clase);Necasatorit/a;Da;1 copil;3;Muncitor calificat;1.001 - 1.700 lei;Nu prea-mi place;Nu prea mi se potriveste;Mai degraba nu;Acceptabil;Scump;7;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1326;Barbat;43;Urban;CARAS-SEVERIN;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Nu;;0;Profesii liberale: architect, notar, avocat, specialist IT, etc.;751 - 1.000 lei;imi place mult;Mi se potriveste foarte bine;Poate da, poate nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
1327;Femeie;41;Urban;IASI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;1;Muncitor calificat;1.701 - 2.000 lei;Nu prea-mi place;Nu prea mi se potriveste;Poate da, poate nu;;;3;Poate il voi schimba, poate nu;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;;;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1328;Barbat;56;Rural;NEAMT;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Inginer, economist, doctor, professor;Nu realizez venituri;Asa si-asa;Asa si-asa;Poate da, poate nu;;;9;Poate il voi schimba, poate nu;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;;Televiziune prin satelit;;;
1329;Barbat;55;Rural;BIHOR;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;4 copii;2;Muncitor calificat;1.701 - 2.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;Vechimea pe piata;;;;Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
1330;Femeie;45;Rural;CLUJ;Zilnic;Liceu (12 clase);Necasatorit/a;Da;2 copii;0;Muncitor calificat;751 - 1.000 lei;Asa si-asa;Nu prea mi se potriveste;Probabil da;Acceptabil;Acceptabil;6;Poate il voi schimba, poate nu;Cu siguranta voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
1331;Femeie;56;Rural;MEHEDINTI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Functionar;1.001 - 1.700 lei;imi place mult;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;9;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Ma distrage de la alte activitati/ as pierde timpul;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1332;Barbat;21;Rural;BACAU;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Nu lucrez;Nu realizez venituri;Asa si-asa;Asa si-asa;Probabil da;Prea scump;Prea scump;8;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1333;Barbat;38;Urban;BRASOV;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;2;Muncitor calificat;4.001 - 5.000 lei;Asa si-asa;Mi se potriveste destul de bine;Cu siguranta da;Scump;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;Vechimea pe piata;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1334;Femeie;55;Urban;CONSTANTA;O data la cateva luni sau mai rar;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Profesii liberale: architect, notar, avocat, specialist IT, etc.;1.001 - 1.700 lei;Nu-mi place deloc;Nu prea mi se potriveste;Cu siguranta nu;Acceptabil;Prea scump;7;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
1335;Femeie;25;Urban;BRASOV;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Nu lucrez;4.001 - 5.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Prea scump;Prea scump;7;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;;;;;;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1336;Barbat;47;Urban;BIHOR;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Nu;;2;Profesii liberale: architect, notar, avocat, specialist IT, etc.;1.001 - 1.700 lei;imi place mult;Mi se potriveste foarte bine;Probabil da;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;;;Rapiditatea rezolvarii problemelor tehnice;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1337;Barbat;25;Rural;MEHEDINTI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Detin o afacere;2.001 - 3.000 lei;Asa si-asa;Mi se potriveste destul de bine;Probabil da;;;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;;;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1338;Barbat;28;Urban;CONSTANTA;Zilnic;Liceu (12 clase);Necasatorit/a;Da;1 copil;4;Refuz;Refuz sa raspund;Asa si-asa;Asa si-asa;Poate da, poate nu;Scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;;;;;;;;;;;;Televiziune prin cablu;;;;
1339;Barbat;37;Urban;PRAHOVA;Zilnic;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Nu lucrez;Nu realizez venituri;Nu prea-mi place;Nu mi se potriveste deloc;Cu siguranta nu;Ieftin;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
1340;Femeie;35;Rural;BOTOSANI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;1;Muncitor calificat;751 - 1.000 lei;imi place mult;Mi se potriveste destul de bine;Cu siguranta da;Acceptabil;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1341;Barbat;70;Urban;BUCURESTI;Zilnic;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Nu;;0;Nu lucrez;3.001 - 4.000 lei;imi place mult;Mi se potriveste foarte bine;Probabil da;Scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;;;;Sa aiba pachet complet (cu internet);;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;;Televiziune prin satelit;;Servicii de online streaming (Netflix, HBO GO etc.);
1342;Femeie;21;Rural;IASI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;1;Nu lucrez;2.001 - 3.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Scump;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
1343;Femeie;34;Rural;BRASOV;Zilnic;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;0;Nu lucrez;;Asa si-asa;Asa si-asa;Mai degraba nu;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
1344;Barbat;38;Urban;BUCURESTI;De 4-5 ori pe saptamana;Liceu (12 clase);Necasatorit/a;Nu;;2;Muncitor calificat;751 - 1.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;;;9;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;;;;;Nu avem niciun fel de televiziune
1345;Barbat;46;Rural;CONSTANTA;De 4-5 ori pe saptamana;Facultate (3-5 ani);Necasatorit/a;Nu;;1;Profesii liberale: architect, notar, avocat, specialist IT, etc.;2.001 - 3.000 lei;Asa si-asa;Mi se potriveste destul de bine;Poate da, poate nu;Acceptabil;Prea scump;9;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1346;Barbat;23;Urban;VASLUI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;1;Muncitor calificat;2.001 - 3.000 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Scump;Scump;8;Probabil il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;Grila de programe variata;;;;;;;;;;;;;;;Televiziune prin satelit;;Servicii de online streaming (Netflix, HBO GO etc.);
1347;Barbat;39;Urban;TIMIS;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;2;Elev / Student;Nu realizez venituri;Asa si-asa;Asa si-asa;Poate da, poate nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
1348;Barbat;29;Rural;GIURGIU;Zilnic;Refuz sa raspund;Uniune consensuala/ Casatorit/a;Da;1 copil;3;Muncitor calificat;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
1349;Barbat;37;Urban;CALARASI;Zilnic;Liceu (12 clase);Necasatorit/a;Da;1 copil;2;Refuz;;Nu prea-mi place;Nu prea mi se potriveste;Cu siguranta nu;Scump;Ieftin;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1350;Femeie;41;Urban;COVASNA;Zilnic;Treapta 1 de liceu (10 clase);Necasatorit/a;Da;2 copii;5;Refuz;751 - 1.000 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Acceptabil;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
1351;Femeie;42;Rural;CALARASI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;1;Muncitor calificat;751 - 1.000 lei;Asa si-asa;Mi se potriveste destul de bine;Poate da, poate nu;Scump;Prea ieftin;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
1352;Barbat;44;Urban;TIMIS;Zilnic;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;4;Muncitor calificat;Sub 750 lei;Asa si-asa;Asa si-asa;Cu siguranta da;Scump;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1353;Barbat;50;Rural;NEAMT;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Muncitor calificat;4.001 - 5.000 lei;Asa si-asa;Mi se potriveste destul de bine;Cu siguranta nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
1354;Barbat;37;Urban;NEAMT;De 2-3 ori pe saptamana;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Nu lucrez;3.001 - 4.000 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;Acceptabil;Scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1355;Barbat;43;Urban;TIMIS;Zilnic;Refuz sa raspund;Uniune consensuala/ Casatorit/a;Da;2 copii;4;Muncitor calificat;Nu realizez venituri;Asa si-asa;Nu prea mi se potriveste;Mai degraba nu;Scump;Scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1356;Barbat;50;Rural;SUCEAVA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;5;Muncitor calificat;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Cu siguranta nu;Acceptabil;Acceptabil;10;Poate il voi schimba, poate nu;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;Vechimea pe piata;;;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
1357;Barbat;58;Urban;CLUJ;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Muncitor calificat;1.701 - 2.000 lei;imi place mult;Mi se potriveste destul de bine;Mai degraba nu;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
1358;Barbat;45;Rural;SALAJ;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;4;Refuz;Nu realizez venituri;Asa si-asa;Asa si-asa;Probabil da;Acceptabil;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;;;;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
1359;Barbat;42;Rural;PRAHOVA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Muncitor calificat;Nu realizez venituri;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;Scump;Prea scump;9;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;;;;;;;Televiziune prin cablu;;;;
1360;Barbat;53;Urban;TIMIS;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;2;Nu lucrez;1.001 - 1.700 lei;imi place mult;Asa si-asa;Cu siguranta da;Scump;Scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1361;Barbat;39;Rural;CLUJ;;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;1;Refuz;1.701 - 2.000 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;;;7;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);;;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
1362;;;;;Zilnic;Treapta 1 de liceu (10 clase);Necasatorit/a;Nu;;1;Muncitor calificat;1.701 - 2.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Scump;Prea scump;;;;;;;;;;;;;;;;;;;Televiziune prin cablu;;;;
